Lugar;Espacialidade;COD IBGE;% da população em domicílios com água encanada (2010);% da população em domicílios com banheiro e água encanada (2010);% da população em domicílios com coleta de lixo (2010);% da população em domicílios com energia elétrica (2010);% da população em domicílios com densidade > 2 (2010)
Demerval Lobão (PI);Município;220330;90,24;64,19;70,94;97,66;28,25
Dirceu Arcoverde (PI);Município;220335;39,17;34,46;71,08;50,04;24,12
Dom Expedito Lopes (PI);Município;220340;92,3;87,91;93,18;99,37;21,29
Domingos Mourão (PI);Município;220342;69,08;49;95,26;63,38;37,08
Dom Inocêncio (PI);Município;220345;21,51;14,54;95,09;44,16;29,26
Elesbão Veloso (PI);Município;220350;91,88;73,37;93,94;93,22;24,99
Eliseu Martins (PI);Município;220360;90,96;89,13;85,17;92,77;20,35
Esperantina (PI);Município;220370;82,34;59,39;84,41;92,65;32,19
Fartura do Piauí (PI);Município;220375;28,11;24,09;68,15;64,98;39,74
Flores do Piauí (PI);Município;220380;72,92;65,98;95,25;81,41;24,26
Floresta do Piauí (PI);Município;220385;73,85;55,75;94,18;99,88;29,79
Floriano (PI);Município;220390;92,03;83,12;93,11;94,35;27,61
Francinópolis (PI);Município;220400;90,14;64,13;93,06;94,71;27,84
Francisco Ayres (PI);Município;220410;82,77;64,72;96,55;89,69;21,13
Francisco Macedo (PI);Município;220415;41,86;47,94;97,96;99,13;31,27
Francisco Santos (PI);Município;220420;63;69,76;87,19;96,04;26,9
Fronteiras (PI);Município;220430;71,04;65,89;88,77;96,8;35,32
Geminiano (PI);Município;220435;60,74;83,84;100;97,31;25,69
Gilbués (PI);Município;220440;81,54;40,54;63,27;69,57;37,82
Guadalupe (PI);Município;220450;94,03;72,47;88,03;95,68;32,01
Guaribas (PI);Município;220455;54,76;31,62;86,86;100;25,39
Hugo Napoleão (PI);Município;220460;82,21;80,9;91,36;96,63;23,01
Ilha Grande (PI);Município;220465;86,86;68,53;68,1;95,53;32,92
Inhuma (PI);Município;220470;83,49;78,95;94,34;98,03;27,53
Ipiranga do Piauí (PI);Município;220480;86,32;80;96,31;97,95;30,88
Isaías Coelho (PI);Município;220490;40,98;35,74;85,18;70,18;39,29
Itainópolis (PI);Município;220500;57,98;52,43;86,17;91,61;27,24
Itaueira (PI);Município;220510;84,93;57,25;93,44;86,97;32,41
Jacobina do Piauí (PI);Município;220515;45,52;41,32;89,06;62,49;35,2
Jaicós (PI);Município;220520;60,12;50,98;90,01;83,42;35,05
Jardim do Mulato (PI);Município;220525;96,6;62,88;79,44;97,54;21,37
Jatobá do Piauí (PI);Município;220527;83,91;56,25;90,94;93,15;26,29
Jerumenha (PI);Município;220530;96,51;69,81;36,68;93,27;28,67
João Costa (PI);Município;220535;34,6;49,57;57,86;90,93;33,82
Joaquim Pires (PI);Município;220540;83,29;44,33;97,13;94,94;44,88
Joca Marques (PI);Município;220545;69,67;42,2;81,13;89,86;43,06
José de Freitas (PI);Município;220550;81,5;52,75;41,92;96,53;40,07
Juazeiro do Piauí (PI);Município;220551;75,73;49,22;68,81;82,15;35,99
Júlio Borges (PI);Município;220552;50,04;39,17;79,36;88,21;27,08
Jurema (PI);Município;220553;58,97;33,46;57,56;91,65;29,14
Lagoa Alegre (PI);Município;220555;77,43;37,46;37;95,88;42,37
Lagoa de São Francisco (PI);Município;220557;42,81;33,35;39,17;94,73;29,82
Lagoa do Barro do Piauí (PI);Município;220556;24,51;28,72;69,44;96,85;45,15
Lagoa do Piauí (PI);Município;220558;70,43;53,91;83,42;90,36;34,66
Lagoa do Sítio (PI);Município;220559;87,89;62,95;79,19;91,69;27,46
Lagoinha do Piauí (PI);Município;220554;99,48;81,07;77,64;99,3;21,46
Landri Sales (PI);Município;220560;93,71;77,8;72,47;97,63;24,54
Luís Correia (PI);Município;220570;64,22;47,62;80,74;94,47;41,1
Luzilândia (PI);Município;220580;69,34;52,96;84,2;95,05;33,73
Madeiro (PI);Município;220585;78,87;26,32;55,38;96,95;44,65
Manoel Emídio (PI);Município;220590;82,36;78,92;73,32;98,18;18,41
Marcolândia (PI);Município;220595;0,5;18,22;91,32;98,91;33,87
Marcos Parente (PI);Município;220600;95,87;77,48;91,84;94,95;28,33
Massapê do Piauí (PI);Município;220605;32,13;17,04;92,16;79,37;39,27
Matias Olímpio (PI);Município;220610;67,88;32,32;68,05;91,23;36,04
Miguel Alves (PI);Município;220620;74,72;26,21;51,4;87,34;44,71
Miguel Leão (PI);Município;220630;83,89;67,3;61,89;95,57;43,01
Milton Brandão (PI);Município;220635;69,92;26,72;90,71;67,74;34,84
Monsenhor Gil (PI);Município;220640;87,81;66,31;78,19;97,38;27,6
Monsenhor Hipólito (PI);Município;220650;61,07;50,74;96,07;84,66;34,24
Monte Alegre do Piauí (PI);Município;220660;88,93;46,74;79,44;80,13;33,58
Morro Cabeça no Tempo (PI);Município;220665;65,27;33,73;87,16;55,76;30,23
Morro do Chapéu do Piauí (PI);Município;220667;86,09;31,86;78,8;86,71;43,54
Murici dos Portelas (PI);Município;220669;58,32;26,81;68,13;81,48;45,43
Nazaré do Piauí (PI);Município;220670;69,45;54,75;53,26;93,88;27,6
Nazária (PI);Município;220672;81,08;43,03;71,95;99,62;39,11
Nossa Senhora de Nazaré (PI);Município;220675;83,1;61,74;63,03;91,92;29,19
Nossa Senhora dos Remédios (PI);Município;220680;70,11;28,16;51,6;88,34;54,13
Nova Santa Rita (PI);Município;220795;52,55;55,94;97,5;90,15;37,11
Novo Oriente do Piauí (PI);Município;220690;76,59;69,8;91,59;92,27;22,03
Novo Santo Antônio (PI);Município;220695;65,39;44,89;96,1;56,78;29,44
Oeiras (PI);Município;220700;75,84;71,01;85,33;87,99;25,81
Olho D'Água do Piauí (PI);Município;220710;93,65;72,15;69,94;98,4;28,76
Padre Marcos (PI);Município;220720;58,74;43,16;92,08;97,45;28,31
Paes Landim (PI);Município;220730;67,19;78,02;99,75;85,32;29,29
Pajeú do Piauí (PI);Município;220735;65,79;64,05;95,84;72,62;23,97
Palmeira do Piauí (PI);Município;220740;88,32;43,16;70,5;80,23;35,29
Palmeirais (PI);Município;220750;83,24;44,89;83,85;93,66;33,66
Paquetá (PI);Município;220755;64,55;50,06;80,03;90,83;37,7
Parnaguá (PI);Município;220760;71,43;35,67;66,04;75,34;40,7
Parnaíba (PI);Município;220770;93,8;81,17;88,22;98,79;31,37
Passagem Franca do Piauí (PI);Município;220775;76,62;57,02;85,07;80,84;42,44
Patos do Piauí (PI);Município;220777;60,51;33,77;90,57;88,86;36,25
Pau D'Arco do Piauí (PI);Município;220779;77,21;23,13;--;89,56;35,88
Paulistana (PI);Município;220780;61,61;55,11;87,95;89,4;38,03
Pavussu (PI);Município;220785;65,41;62,83;94,41;78,75;34,61
Pedro Ii (PI);Município;220790;74,33;52,37;91,25;88,61;32,61
Pedro Laurentino (PI);Município;220793;88,09;81,57;98,47;98,92;40,93
Picos (PI);Município;220800;89,39;86,82;95,29;99,28;29,32
Pimenteiras (PI);Município;220810;73,84;54,02;95,91;93,45;35,6
Pio Ix (PI);Município;220820;45,31;42,48;99,8;84,37;34,07
Piracuruca (PI);Município;220830;79,1;69,68;81,65;88,51;32,86
Piripiri (PI);Município;220840;84,08;71,86;86,12;95,45;27,66
Porto (PI);Município;220850;69,7;43,83;53,61;87,77;49,59
Porto Alegre do Piauí (PI);Município;220855;91,06;45,06;96,35;99,11;27,9
Prata do Piauí (PI);Município;220860;84,22;58,28;87,88;83,44;27,12
Queimada Nova (PI);Município;220865;15,52;25,74;99,15;96,01;42,73
Redenção do Gurguéia (PI);Município;220870;87,74;65,99;53,6;95,9;33,14
Regeneração (PI);Município;220880;61,22;52,88;76,99;95,22;27,78
Riacho Frio (PI);Município;220885;76,54;49,13;94,52;68,97;32,43
Ribeira do Piauí (PI);Município;220887;85,67;53,29;95,34;86,2;32,63
Ribeiro Gonçalves (PI);Município;220890;65,9;55,52;79,48;70,73;31,13
Rio Grande do Piauí (PI);Município;220900;66,9;69,02;94,22;89,78;28,66
Santa Cruz do Piauí (PI);Município;220910;91,67;68,82;93,42;87,34;25,34
Santa Cruz dos Milagres (PI);Município;220915;93,23;69,67;98,22;94,24;32,68
Santa Filomena (PI);Município;220920;53,04;53,3;52,38;69,58;41
Santa Luz (PI);Município;220930;73,67;58,27;71,82;96,59;29,78
Santana do Piauí (PI);Município;220935;95,77;63,51;91,6;99,23;29,77
Santa Rosa do Piauí (PI);Município;220937;76,23;66,72;92,56;89,41;27,29
Santo Antônio de Lisboa (PI);Município;220940;84,35;80,36;87,73;97,37;35,41
Santo Antônio dos Milagres (PI);Município;220945;38,42;42,1;50,64;95,82;39,85
Santo Inácio do Piauí (PI);Município;220950;91,47;74,4;93,72;92,84;23,22
São Braz do Piauí (PI);Município;220955;6,99;18,09;78,54;94,04;24,48
São Félix do Piauí (PI);Município;220960;74,76;81,17;100;93,36;19,05
São Francisco de Assis do Piauí (PI);Município;220965;24,66;13,65;98,4;65,84;44,33
São Francisco do Piauí (PI);Município;220970;66,32;51,23;84,9;83,27;30,33
São Gonçalo do Gurguéia (PI);Município;220975;78,78;47,53;90,75;55,08;33,93
São Gonçalo do Piauí (PI);Município;220980;96,86;82,63;93,04;99,43;27,56
São João da Canabrava (PI);Município;220985;85,68;77,55;97,2;94,97;27,88
São João da Fronteira (PI);Município;220987;81,73;35,58;72,62;85,3;36,44
São João da Serra (PI);Município;220990;73,95;53,72;90,72;67,87;29,7
São João da Varjota (PI);Município;220995;43,31;53,06;88,81;96,09;34,06
São João do Arraial (PI);Município;220997;91,63;42,58;33,47;95,25;36,66
São João do Piauí (PI);Município;221000;83,51;78,16;92,05;96,04;31,76
São José do Divino (PI);Município;221005;76,62;55,16;90,75;91,08;32,71
São José do Peixe (PI);Município;221010;93,88;59,48;84,26;93,5;35,74
São José do Piauí (PI);Município;221020;90,21;74,54;93,71;91,82;28,51
São Julião (PI);Município;221030;71,12;66,91;99,88;94,29;31,94
São Lourenço do Piauí (PI);Município;221035;26,29;23,17;77,96;44,27;22,86
São Luis do Piauí (PI);Município;221037;95,29;75,91;84,04;89,89;30,19
São Miguel da Baixa Grande (PI);Município;221038;89,07;65,84;99,7;90,57;23,02
São Miguel do Fidalgo (PI);Município;221039;76,62;56,7;81,73;89,23;37,62
São Miguel do Tapuio (PI);Município;221040;85,46;50,91;96,66;76,7;37,94
São Pedro do Piauí (PI);Município;221050;78,05;63,75;63,09;97,3;33,14
São Raimundo Nonato (PI);Município;221060;67,75;61,27;90,21;87,75;25,91
Sebastião Barros (PI);Município;221062;66,25;27,2;71,79;46,09;29,97
Sebastião Leal (PI);Município;221063;86,03;55,09;53,99;89,46;19,83
Sigefredo Pacheco (PI);Município;221065;89,51;52,46;94,22;82,44;26,86
Simões (PI);Município;221070;46,98;39,77;98,41;84,2;42,13
Simplício Mendes (PI);Município;221080;84,91;79,86;97,21;93,69;28,27
Socorro do Piauí (PI);Município;221090;66,95;60,53;86,89;91,8;28,27
Sussuapara (PI);Município;221093;97,74;86,62;94;99,11;29,1
Tamboril do Piauí (PI);Município;221095;65,22;51,16;89,84;82,38;30,85
Tanque do Piauí (PI);Município;221097;92,5;62,75;94,81;96,65;26,92
Teresina (PI);Município;221100;96,22;91,74;95,41;99,89;28,47
União (PI);Município;221110;82,2;44,93;64,14;96,94;38,42
Uruçuí (PI);Município;221120;90,55;68;92,66;85,37;29,56
Valença do Piauí (PI);Município;221130;94,36;87,26;97,96;98,67;18,17
Várzea Branca (PI);Município;221135;27,22;21,93;90,8;54,87;39,65
Várzea Grande (PI);Município;221140;95,94;68,82;92,62;98,57;21,77
Vera Mendes (PI);Município;221150;67,93;51,09;72,3;99,27;26,99
Vila Nova do Piauí (PI);Município;221160;21,07;43,25;95,28;99,15;25,85
Wall Ferraz (PI);Município;221170;35,07;50,54;95,92;96,79;34,37
Abatiá (PR);Município;410010;92,93;97,69;98,29;99,73;17,56
Adrianópolis (PR);Município;410020;60,74;77,4;99,68;96,08;29,85
Agudos do Sul (PR);Município;410030;91,17;93,61;97,36;99,59;18,8
Almirante Tamandaré (PR);Município;410040;98,24;97,43;99,25;99,71;24,5
Altamira do Paraná (PR);Município;410045;93,62;87,49;97,17;97,25;21,18
Altônia (PR);Município;410050;89,89;99,04;99,55;100;14,94
Alto Paraíso (PR);Município;412862;81,98;99,44;99,53;99,7;15,44
Alto Paraná (PR);Município;410060;95,87;86,04;98,51;99,65;16,36
Alto Piquiri (PR);Município;410070;97,32;97,56;96,26;99,81;16,35
Alvorada do Sul (PR);Município;410080;90,56;88,23;99,82;88,72;23,18
Amaporã (PR);Município;410090;83,14;95,47;98,85;98,17;23,81
Ampére (PR);Município;410100;93,31;97,97;98,61;99,92;11,53
Anahy (PR);Município;410105;95,42;99,68;100;99,68;11,96
Andirá (PR);Município;410110;99,32;99,55;100;100;15,16
Ângulo (PR);Município;410115;94,16;98,85;99,41;100;11,56
Antonina (PR);Município;410120;92,74;95,36;98,32;98,58;30
Antônio Olinto (PR);Município;410130;83,78;82,11;97,93;99,03;17,96
Apucarana (PR);Município;410140;98,56;98,57;98,65;99,89;14,38
Arapongas (PR);Município;410150;99,06;99,54;98,85;99,91;14,06
Arapoti (PR);Município;410160;97,76;95,6;98,72;99,93;21,26
Arapuã (PR);Município;410165;81,83;95,43;95,46;99,8;12,86
Araruna (PR);Município;410170;98,12;98,57;98,66;99,92;12,63
Araucária (PR);Município;410180;98,37;97,15;99,25;99,85;21,37
Ariranha do Ivaí (PR);Município;410185;88,42;92,03;97,68;100;18,59
Assaí (PR);Município;410190;96,62;98,41;99,35;99,56;15,25
Assis Chateaubriand (PR);Município;410200;98,65;97,4;96,84;99,83;9,27
Astorga (PR);Município;410210;97,16;100;99,39;100;10,39
Atalaia (PR);Município;410220;90,61;100;99,76;100;10,85
Balsa Nova (PR);Município;410230;97,79;94,18;99,07;99,87;17,33
Bandeirantes (PR);Município;410240;96,07;99,28;99,56;99,93;16,61
Barbosa Ferraz (PR);Município;410250;94,62;96,78;93,19;99,34;14,94
Barracão (PR);Município;410260;92,29;94,33;96,82;99,49;19,23
Barra do Jacaré (PR);Município;410270;79,15;94,88;99,3;100;10,09
Bela Vista da Caroba (PR);Município;410275;88,84;87,75;98,29;98,89;20,8
Bela Vista do Paraíso (PR);Município;410280;98,5;99,19;99,34;99,8;18,64
Bituruna (PR);Município;410290;89,48;92,19;99,89;98,31;23,07
Boa Esperança (PR);Município;410300;98,49;98,6;99,9;99,46;8,94
Boa Esperança do Iguaçu (PR);Município;410302;80,02;96,97;100;100;11,81
Boa Ventura de São Roque (PR);Município;410304;78,4;82,24;93,85;92,51;24,38
Boa Vista da Aparecida (PR);Município;410305;94,44;98,15;95,68;99,77;19,42
Bocaiúva do Sul (PR);Município;410310;83,88;94,06;100;99,25;25,54
Bom Jesus do Sul (PR);Município;410315;95,72;93,57;100;99,86;10,3
Bom Sucesso (PR);Município;410320;94,62;99,53;99,35;99,83;17,43
Bom Sucesso do Sul (PR);Município;410322;85,87;98,25;99,71;100;12,75
Borrazópolis (PR);Município;410330;95,6;99,47;99,03;99,93;7,62
Braganey (PR);Município;410335;93,87;96,2;98,81;99,83;14,18
Brasilândia do Sul (PR);Município;410337;97,38;97,56;99,32;100;12,33
Cafeara (PR);Município;410340;98,95;98,93;100;100;18,21
Cafelândia (PR);Município;410345;97,54;99,14;99,14;100;12,1
Cafezal do Sul (PR);Município;410347;95,12;99,69;97,9;100;11,07
Califórnia (PR);Município;410350;96,14;99,6;99,68;99,75;14,43
Cambará (PR);Município;410360;98,67;94,15;99,41;99,95;16,91
Cambé (PR);Município;410370;99,23;99,63;99,55;100;18,23
Cambira (PR);Município;410380;95,4;99,71;95,57;100;9,74
Campina da Lagoa (PR);Município;410390;96,69;96,99;82,41;99,93;17,14
Campina do Simão (PR);Município;410395;82,86;80,14;86,89;90,51;21,57
Campina Grande do Sul (PR);Município;410400;89,83;94;99,7;99,66;23,55
Campo Bonito (PR);Município;410405;90,93;93,7;95,98;99,34;18,49
Campo do Tenente (PR);Município;410410;95,45;91,73;98,5;99,1;27,8
Campo Largo (PR);Município;410420;97,3;96,62;98,49;99,84;17,59
Campo Magro (PR);Município;410425;95,25;94,91;99,43;99,82;22,65
Campo Mourão (PR);Município;410430;97,95;96,71;99,64;99,89;15,41
Cândido de Abreu (PR);Município;410440;89,73;77,88;86,32;96,72;29,91
Candói (PR);Município;410442;90,75;85,74;96,27;98,2;23,66
Cantagalo (PR);Município;410445;95,63;92,04;97,46;98,83;25,6
Capanema (PR);Município;410450;95,05;97,79;97,61;99,92;11,25
Capitão Leônidas Marques (PR);Município;410460;87,74;97,8;99,63;100;12,92
Carambeí (PR);Município;410465;94,21;95,8;99,92;99,94;22,63
Carlópolis (PR);Município;410470;94,89;96,76;99,81;99,7;20,67
Cascavel (PR);Município;410480;98,2;98,7;99,66;99,75;14,01
Castro (PR);Município;410490;89,35;93,79;98,87;98,83;24,92
Catanduvas (PR);Município;410500;85,55;95,6;99,34;98,44;23,6
Centenário do Sul (PR);Município;410510;96,04;99,29;98,76;99,82;13,24
Cerro Azul (PR);Município;410520;73,37;81,71;94,11;96,06;29,19
Céu Azul (PR);Município;410530;92,79;95,98;99,71;99,81;7,87
Chopinzinho (PR);Município;410540;90,06;96,99;97,48;99,49;14,8
Cianorte (PR);Município;410550;98,04;96,58;99,85;99,99;12,85
Cidade Gaúcha (PR);Município;410560;98,29;99,22;99,47;99,93;17,36
Clevelândia (PR);Município;410570;97,58;90,76;97,37;99,31;20,67
Colombo (PR);Município;410580;98,96;97,75;99,82;99,93;22,09
Colorado (PR);Município;410590;98,81;99,55;98,7;99,95;10,81
Congonhinhas (PR);Município;410600;79,25;98,67;97,58;99,48;16,32
Conselheiro Mairinck (PR);Município;410610;91,46;86,3;100;99,01;19,22
Contenda (PR);Município;410620;97,61;92,1;99,28;99,18;22,08
Corbélia (PR);Município;410630;97,84;99,72;98,59;99,97;13,5
Cornélio Procópio (PR);Município;410640;99,54;99,58;99,87;99,98;10,43
Coronel Domingos Soares (PR);Município;410645;91,09;89,49;100;98,64;21,75
Coronel Vivida (PR);Município;410650;94,03;96,71;95,74;100;12,34
Corumbataí do Sul (PR);Município;410655;78,47;91,93;99,88;100;13,67
Cruzeiro do Iguaçu (PR);Município;410657;91,2;98,96;97,62;99,92;11,15
Cruzeiro do Oeste (PR);Município;410660;96,73;96,71;97,81;100;13,57
Cruzeiro do Sul (PR);Município;410670;93,54;100;100;100;10,56
Cruz Machado (PR);Município;410680;80,4;86,34;95,12;98,89;23,84
Cruzmaltina (PR);Município;410685;79,77;98,55;96,52;99,67;8,85
Curitiba (PR);Município;410690;99,82;98,73;99,89;99,98;13,3
Curiúva (PR);Município;410700;90,18;95,44;99,51;99,75;18,68
Diamante D'Oeste (PR);Município;410715;87,95;92,47;98,2;98,15;24,57
Diamante do Norte (PR);Município;410710;91,83;99,52;99,49;99,9;16,03
Diamante do Sul (PR);Município;410712;88,5;83,62;92,17;94,81;23,73
Dois Vizinhos (PR);Município;410720;86,36;96,95;99,29;100;12,3
Douradina (PR);Município;410725;93,51;99,35;99,84;99,9;11,02
Doutor Camargo (PR);Município;410730;96,43;100;99,69;100;8,22
Doutor Ulysses (PR);Município;412863;71,16;81,05;98,08;96,76;32,57
Enéas Marques (PR);Município;410740;84,3;95,54;96,51;99,71;11,99
Engenheiro Beltrão (PR);Município;410750;90,62;99,8;99,43;99,92;11,94
Entre Rios do Oeste (PR);Município;410753;99,92;100;100;100;12,49
Esperança Nova (PR);Município;410752;87,58;99,22;100;100;9,5
Espigão Alto do Iguaçu (PR);Município;410754;81,77;85,34;98,14;95,7;27,52
Farol (PR);Município;410755;88,32;98,5;99,42;100;14,28
Faxinal (PR);Município;410760;95,2;99,41;99,03;99,83;18,18
Fazenda Rio Grande (PR);Município;410765;99,25;93,85;99,49;99,98;24,4
Fênix (PR);Município;410770;96,04;99,88;98,87;99,84;14,15
Fernandes Pinheiro (PR);Município;410773;92,59;77,89;99,04;99,02;24,26
Figueira (PR);Município;410775;98,22;95,83;99,01;99,36;16,2
Floraí (PR);Município;410780;95,78;99,78;99,18;99,94;5,94
Flor da Serra do Sul (PR);Município;410785;92,84;92,6;99,53;98,62;14,63
Floresta (PR);Município;410790;97,78;91,4;99,79;99,86;12,37
Florestópolis (PR);Município;410800;99,62;99,2;100;99,95;17,13
Flórida (PR);Município;410810;93,88;99,91;99,18;99,88;14,43
Formosa do Oeste (PR);Município;410820;90,73;99,1;98,47;99,8;8,07
Foz do Iguaçu (PR);Município;410830;99,19;98,95;99,21;99,83;20,85
Foz do Jordão (PR);Município;410845;98,61;90,46;94,6;99,29;29,68
Francisco Alves (PR);Município;410832;98,61;99,18;97,99;99,95;13,73
Francisco Beltrão (PR);Município;410840;97,89;98,76;99,49;99,86;10,86
General Carneiro (PR);Município;410850;95,06;85,82;98,2;97,77;27,86
Godoy Moreira (PR);Município;410855;88,06;98;95,23;99,09;14,97
Goioerê (PR);Município;410860;99,41;99,28;99,44;99,93;13,39
Goioxim (PR);Município;410865;85,85;67,91;93,23;98,87;28,39
Grandes Rios (PR);Município;410870;91,28;97,23;96,88;98,95;16,4
Guaíra (PR);Município;410880;96,67;96,9;96,81;98,32;17,92
Guairaçá (PR);Município;410890;93,96;96,93;99,46;98,63;19,04
Guamiranga (PR);Município;410895;88,61;80,33;99,5;99,19;22,94
Guapirama (PR);Município;410900;96,39;99,92;99,68;99,83;14,8
Guaporema (PR);Município;410910;89,09;99,81;100;100;14,28
Guaraci (PR);Município;410920;96,67;99,79;99,31;99,94;15,07
Guaraniaçu (PR);Município;410930;93,52;93,65;93,38;98,41;17,91
Guarapuava (PR);Município;410940;98,55;94,34;98,87;99,01;20,62
Guaraqueçaba (PR);Município;410950;61,39;88,73;94,27;97,54;29,21
